id,journee,date_formatee,equipe,role,adversaire,score_equipe,score_adversaire,classement_avant_match,bonus,resultat,essais_accordes,possession_balle,occupation,possession_prop_camp,possession_camp_adv,possession_22m_adv,melees_obtenues,melees_perdues,melees_gagnees,melees_refaites,touches_obtenues,touches_propre_lancer,touches_lancer_adv,en_avant_commis,penalites_reussies,penalites_concedees,plaquages_reussis,plaquages_offensifs,plaquages_manques,ballons_pied,ballons_passes,carton_jaune,carton_orange,carton_rouge
3aa48e89,j5,17/09/2016,Union Bordeaux-Bègles,Extérieur,ASM Clermont,16,40,11e,,Défaite,1,50 %,41 %,32 %,61 %,41 %,10,4,4,2,15,11,3,8,3,12,169,4,21,27,81,1,0,0
7f6fecc2,j5,18/09/2016,Castres Olympique,Domicile,FC Grenoble Rugby,46,9,5e,Bo,Victoire,7,50 %,67 %,92 %,35 %,64 %,7,1,5,1,16,16,1,6,1,8,96,0,14,13,177,1,0,0
7f6fecc2,j5,18/09/2016,FC Grenoble Rugby,Extérieur,Castres Olympique,9,46,13e,,Défaite,0,50 %,33 %,8 %,65 %,36 %,7,2,3,2,10,5,0,4,3,14,164,2,30,15,106,2,0,0
72568838,j5,18/09/2016,Racing 92,Domicile,RC Toulon,41,30,6e,Bo,Victoire,6,50 %,49 %,37 %,51 %,49 %,5,2,2,1,13,12,1,5,1,13,182,2,15,16,127,1,0,0
72568838,j5,18/09/2016,RC Toulon,Extérieur,Racing 92,30,41,4e,,Défaite,2,50 %,51 %,63 %,49 %,51 %,5,0,5,0,15,13,1,4,2,8,153,5,25,20,159,0,0,0
32642fa2,j6,24/09/2016,Castres Olympique,Domicile,Racing 92,31,23,5e,,Victoire,3,50 %,54 %,66 %,45 %,54 %,13,2,6,5,8,6,1,7,4,7,136,5,11,21,102,0,0,0
32642fa2,j6,24/09/2016,Racing 92,Extérieur,Castres Olympique,23,31,6e,,Défaite,2,50 %,46 %,34 %,55 %,46 %,3,0,3,0,11,5,1,11,3,12,125,2,13,17,108,1,0,0
9fb9812f,j6,24/09/2016,FC Grenoble Rugby,Domicile,Section Paloise,38,39,13e,Bd,Défaite,2,50 %,49 %,52 %,50 %,49 %,9,2,4,3,11,9,0,8,8,10,130,1,20,11,106,1,0,0
9fb9812f,j6,24/09/2016,Section Paloise,Extérieur,FC Grenoble Rugby,39,38,9e,,Victoire,3,50 %,51 %,48 %,50 %,51 %,5,2,3,0,6,6,0,6,6,13,97,4,12,21,139,0,0,0
eb2b79b3,j6,24/09/2016,Union Bordeaux-Bègles,Domicile,LOU Rugby,32,10,11e,Bo,Victoire,4,50 %,49 %,44 %,55 %,49 %,9,2,4,3,14,9,1,6,2,12,188,15,17,21,129,2,0,0
eb2b79b3,j6,24/09/2016,LOU Rugby,Extérieur,Union Bordeaux-Bègles,10,32,10e,,Défaite,1,50 %,51 %,56 %,45 %,51 %,7,4,3,0,15,10,0,11,1,13,113,5,13,10,130,1,0,0
03b91917,j6,24/09/2016,Stade Rochelais,Domicile,Aviron Bayonnais,34,17,1e,Bo,Victoire,3,50 %,51 %,63 %,48 %,50 %,8,0,8,0,8,6,0,12,2,12,164,4,19,14,144,1,0,0
03b91917,j6,24/09/2016,Aviron Bayonnais,Extérieur,Stade Rochelais,17,34,14e,,Défaite,1,50 %,49 %,37 %,52 %,50 %,9,4,4,1,9,8,1,9,4,9,134,4,16,16,180,0,0,0
f4786144,j6,24/09/2016,Stade Toulousain,Domicile,Stade Français Paris,23,18,12e,,Victoire,2,50 %,42 %,35 %,58 %,43 %,7,2,3,2,12,10,2,11,3,14,197,2,16,23,133,1,0,0
f4786144,j6,24/09/2016,Stade Français Paris,Extérieur,Stade Toulousain,18,23,7e,Bd,Défaite,2,50 %,58 %,65 %,42 %,57 %,9,1,7,1,14,10,0,7,2,10,134,2,12,21,156,0,0,1
5e6b7177,j6,25/09/2016,Montpellier Hérault Rugby,Domicile,CA Brive,42,13,3e,Bo,Victoire,5,50 %,47 %,38 %,53 %,47 %,9,1,6,2,12,9,1,10,3,9,120,1,14,15,142,0,0,0
5e6b7177,j6,25/09/2016,CA Brive,Extérieur,Montpellier Hérault Rugby,13,42,8e,,Défaite,1,50 %,53 %,62 %,47 %,53 %,6,3,3,0,13,6,0,11,2,14,125,3,20,13,85,2,0,0
0c03c691,j6,25/09/2016,RC Toulon,Domicile,ASM Clermont,23,21,4e,,Victoire,2,50 %,53 %,54 %,46 %,52 %,6,2,2,2,15,12,1,9,3,9,109,4,10,19,137,0,0,0
0c03c691,j6,25/09/2016,ASM Clermont,Extérieur,RC Toulon,21,23,2e,Bd,Défaite,2,50 %,47 %,46 %,54 %,48 %,11,2,6,3,15,11,1,4,3,12,152,0,20,23,117,0,0,0
41754a59,j7,01/10/2016,ASM Clermont,Domicile,Castres Olympique,29,19,2e,,Victoire,3,50 %,45 %,54 %,56 %,45 %,11,0,8,3,15,10,0,9,4,7,110,6,16,17,104,0,0,0
41754a59,j7,01/10/2016,Castres Olympique,Extérieur,ASM Clermont,19,29,5e,,Défaite,1,50 %,55 %,46 %,44 %,55 %,7,1,5,1,6,5,3,11,4,17,124,5,14,21,117,1,0,0
88bc3123,j7,01/10/2016,Aviron Bayonnais,Domicile,LOU Rugby,22,22,14e,,Nul,1,50 %,34 %,35 %,66 %,35 %,7,1,5,1,18,12,1,7,4,11,145,1,11,21,110,0,0,0
88bc3123,j7,01/10/2016,LOU Rugby,Extérieur,Aviron Bayonnais,22,22,10e,,Nul,1,50 %,66 %,65 %,34 %,65 %,5,1,3,1,11,9,3,10,5,14,122,4,3,24,129,1,0,0
6526781f,j7,01/10/2016,Section Paloise,Domicile,Union Bordeaux-Bègles,28,30,9e,Bd,Défaite,1,50 %,46 %,43 %,53 %,45 %,8,3,4,1,15,7,0,10,7,10,103,3,18,20,111,1,0,0
6526781f,j7,01/10/2016,Union Bordeaux-Bègles,Extérieur,Section Paloise,30,28,11e,,Victoire,2,50 %,54 %,57 %,47 %,55 %,6,1,3,2,10,8,1,9,6,15,126,14,15,20,83,2,0,0
6beb2150,j7,01/10/2016,Stade Toulousain,Domicile,FC Grenoble Rugby,31,3,12e,Bo,Victoire,4,50 %,62 %,78 %,37 %,60 %,8,0,7,1,15,12,0,5,1,11,99,2,8,26,189,0,0,0
6beb2150,j7,01/10/2016,FC Grenoble Rugby,Extérieur,Stade Toulousain,3,31,13e,,Défaite,0,50 %,38 %,22 %,63 %,40 %,9,1,5,3,21,12,0,5,1,10,170,1,15,13,123,0,0,0
ff6ff71e,j7,01/10/2016,CA Brive,Domicile,Racing 92,25,16,8e,,Victoire,1,50 %,53 %,49 %,48 %,52 %,12,1,9,2,10,6,2,12,5,12,133,2,13,25,117,1,0,0
ff6ff71e,j7,01/10/2016,Racing 92,Extérieur,CA Brive,16,25,6e,,Défaite,1,50 %,47 %,51 %,52 %,48 %,8,0,7,1,13,7,1,10,3,11,135,1,20,22,119,1,0,0
0921e240,j7,02/10/2016,Stade Français Paris,Domicile,Stade Rochelais,31,26,7e,,Victoire,3,50 %,54 %,76 %,44 %,54 %,8,1,4,3,6,4,3,8,1,17,202,0,13,19,133,2,0,0
0921e240,j7,02/10/2016,Stade Rochelais,Extérieur,Stade Français Paris,26,31,1e,Bd,Défaite,2,50 %,46 %,24 %,56 %,46 %,6,0,5,1,14,10,0,2,4,8,142,2,16,16,169,0,0,0
27073e22,j7,02/10/2016,RC Toulon,Domicile,Montpellier Hérault Rugby,28,6,4e,Bo,Victoire,3,50 %,47 %,41 %,54 %,47 %,10,1,8,1,9,9,1,11,3,10,146,4,11,24,120,0,0,0
27073e22,j7,02/10/2016,Montpellier Hérault Rugby,Extérieur,RC Toulon,6,28,3e,,Défaite,0,50 %,53 %,59 %,46 %,53 %,9,0,4,5,10,6,0,8,2,13,134,1,13,22,95,1,0,0
1c1587f4,j8,08/10/2016,Racing 92,Domicile,Stade Français Paris,29,22,6e,,Victoire,2,50 %,44 %,30 %,55 %,47 %,5,0,4,1,10,8,2,3,5,12,166,3,14,15,96,1,0,0
1c1587f4,j8,08/10/2016,Stade Français Paris,Extérieur,Racing 92,22,29,7e,,Défaite,1,50 %,56 %,70 %,45 %,53 %,9,2,4,3,11,8,2,6,5,10,131,3,7,8,180,1,0,0
b744c328,j8,08/10/2016,FC Grenoble Rugby,Domicile,Aviron Bayonnais,44,16,13e,Bo,Victoire,5,50 %,50 %,50 %,49 %,50 %,6,3,3,0,11,9,4,9,3,15,173,8,25,17,151,1,0,0
b744c328,j8,08/10/2016,Aviron Bayonnais,Extérieur,FC Grenoble Rugby,16,44,14e,,Défaite,1,50 %,50 %,50 %,51 %,50 %,9,3,5,1,18,8,1,11,3,14,137,3,26,9,148,2,0,0
dd137a79,j8,08/10/2016,Montpellier Hérault Rugby,Domicile,Castres Olympique,28,19,3e,,Victoire,1,50 %,49 %,57 %,53 %,49 %,8,1,5,2,10,8,0,10,7,9,122,5,28,31,118,1,0,0
dd137a79,j8,08/10/2016,Castres Olympique,Extérieur,Montpellier Hérault Rugby,19,28,5e,,Défaite,1,50 %,51 %,43 %,47 %,51 %,8,1,4,3,11,6,1,11,4,10,163,3,30,26,128,0,0,0
c319d986,j8,08/10/2016,Union Bordeaux-Bègles,Domicile,CA Brive,27,25,11e,,Victoire,2,50 %,50 %,40 %,48 %,50 %,3,1,2,0,14,11,0,12,5,18,161,3,12,15,113,2,0,0
c319d986,j8,08/10/2016,CA Brive,Extérieur,Union Bordeaux-Bègles,25,27,8e,Bd,Défaite,1,50 %,50 %,60 %,52 %,50 %,22,4,11,7,10,9,1,6,6,9,98,1,11,17,84,1,0,0
9bc8f03d,j8,08/10/2016,Stade Rochelais,Domicile,RC Toulon,17,17,1e,,Nul,1,50 %,54 %,47 %,46 %,53 %,5,2,3,0,14,12,0,5,4,11,109,4,7,14,147,0,0,0
9bc8f03d,j8,08/10/2016,RC Toulon,Extérieur,Stade Rochelais,17,17,4e,,Nul,1,50 %,46 %,53 %,54 %,47 %,9,4,3,2,13,7,0,4,3,11,166,0,19,13,83,0,0,0
1ad6c5d9,j8,09/10/2016,LOU Rugby,Domicile,Section Paloise,27,22,10e,,Victoire,2,50 %,59 %,60 %,38 %,58 %,8,1,5,2,13,10,0,8,2,10,172,4,21,13,106,0,0,0
1ad6c5d9,j8,09/10/2016,Section Paloise,Extérieur,LOU Rugby,22,27,9e,Bd,Défaite,1,50 %,41 %,40 %,62 %,42 %,6,2,3,1,8,6,1,6,5,15,122,1,16,12,224,1,0,0
d9bc59af,j8,09/10/2016,ASM Clermont,Domicile,Stade Toulousain,29,25,2e,,Victoire,2,50 %,52 %,47 %,47 %,53 %,7,5,1,1,11,7,0,10,5,14,148,7,22,17,79,2,0,0
d9bc59af,j8,09/10/2016,Stade Toulousain,Extérieur,ASM Clermont,25,29,12e,Bd,Défaite,2,50 %,48 %,53 %,53 %,47 %,15,0,12,3,16,10,1,5,2,13,69,1,16,25,119,1,0,0
427b2cbf,j9,29/10/2016,Section Paloise,Domicile,Stade Toulousain,20,24,9e,Bd,Défaite,2,50 %,61 %,68 %,35 %,64 %,3,0,2,1,13,9,0,8,2,11,135,2,20,14,169,0,0,0
427b2cbf,j9,29/10/2016,Stade Toulousain,Extérieur,Section Paloise,24,20,12e,,Victoire,2,50 %,39 %,32 %,65 %,36 %,11,2,7,2,10,7,2,5,3,10,130,1,17,21,122,0,0,0
b50c4065,j9,29/10/2016,Montpellier Hérault Rugby,Domicile,Stade Rochelais,12,11,3e,,Victoire,0,50 %,42 %,62 %,59 %,41 %,6,3,3,0,12,7,0,3,4,9,221,11,24,28,64,0,0,0
b50c4065,j9,29/10/2016,Stade Rochelais,Extérieur,Montpellier Hérault Rugby,11,12,1e,Bd,Défaite,1,50 %,58 %,38 %,41 %,59 %,3,0,3,0,21,15,5,6,2,7,84,0,11,31,211,0,0,0
