journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j22,dimanche 25 mars,RC Toulon,4e,Bo,49,ASM Clermont,9e,,0,49 - 0,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8258-toulon-clermont
j22,dimanche 25 mars,LOU Rugby,5e,Bd,22,Racing 92,2e,,24,22 - 24,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8259-lyon-racing-92
j23,samedi 07 avril,Castres Olympique,6e,,28,Stade Toulousain,3e,Bd,23,28 - 23,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8260-castres-toulouse
j23,samedi 07 avril,CA Brive,14e,Bd,25,LOU Rugby,5e,,27,25 - 27,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8261-brive-lyon
j23,samedi 07 avril,Stade Français Paris,12e,Bo,50,ASM Clermont,9e,,13,50 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8262-paris-clermont
j23,samedi 07 avril,Union Bordeaux-Bègles,10e,,19,Section Paloise,8e,Bd,18,19 - 18,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8263-bordeaux-begles-pau
j23,samedi 07 avril,SU Agen,11e,Bo,36,Oyonnax Rugby,13e,,21,36 - 21,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8264-agen-oyonnax
j23,dimanche 08 avril,Montpellier Hérault Rugby,1e,Bo,40,Stade Rochelais,7e,,24,40 - 24,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8265-montpellier-la-rochelle
j23,dimanche 08 avril,Racing 92,2e,,17,RC Toulon,4e,Bd,13,17 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j23/8266-racing-92-toulon
j24,samedi 14 avril,RC Toulon,4e,,32,Montpellier Hérault Rugby,1e,,17,32 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8267-toulon-montpellier
j24,samedi 14 avril,ASM Clermont,9e,Bo,33,Union Bordeaux-Bègles,10e,,3,33 - 3,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8268-clermont-bordeaux-begles
j24,samedi 14 avril,Oyonnax Rugby,13e,,40,CA Brive,14e,,17,40 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8269-oyonnax-brive
j24,samedi 14 avril,Section Paloise,8e,,22,SU Agen,11e,,33,22 - 33,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8270-pau-agen
j24,samedi 14 avril,LOU Rugby,5e,Bo,44,Stade Français Paris,12e,,3,44 - 3,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8271-lyon-paris
j24,dimanche 15 avril,Stade Rochelais,7e,,18,Castres Olympique,6e,,26,18 - 26,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8272-la-rochelle-castres
j24,dimanche 15 avril,Stade Toulousain,3e,,42,Racing 92,2e,,27,42 - 27,https://top14.lnr.fr/feuille-de-match/2017-2018/j24/8273-toulouse-racing-92
j25,samedi 28 avril,RC Toulon,4e,Bo,59,Castres Olympique,6e,,13,59 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8274-toulon-castres
j25,samedi 28 avril,Montpellier Hérault Rugby,1e,Bo,45,Section Paloise,8e,,13,45 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8275-montpellier-pau
j25,samedi 28 avril,Oyonnax Rugby,13e,Bo,39,LOU Rugby,5e,,18,39 - 18,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8276-oyonnax-lyon
j25,samedi 28 avril,Stade Français Paris,12e,,30,CA Brive,14e,,22,30 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8277-paris-brive
j25,samedi 28 avril,SU Agen,11e,,27,ASM Clermont,9e,,17,27 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8278-agen-clermont
j25,dimanche 29 avril,Union Bordeaux-Bègles,10e,,15,Racing 92,2e,Bo,39,15 - 39,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8279-bordeaux-begles-racing-92
j25,dimanche 29 avril,Stade Toulousain,3e,,19,Stade Rochelais,7e,Bd,14,19 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j25/8280-toulouse-la-rochelle
j26,samedi 05 mai,ASM Clermont,9e,,36,Stade Toulousain,3e,,26,36 - 26,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8281-clermont-toulouse
j26,samedi 05 mai,CA Brive,14e,,22,Union Bordeaux-Bègles,10e,Bd,20,22 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8282-brive-bordeaux-begles
j26,samedi 05 mai,Castres Olympique,6e,Bo,54,Oyonnax Rugby,13e,,3,54 - 3,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8283-castres-oyonnax
j26,samedi 05 mai,LOU Rugby,5e,,32,Montpellier Hérault Rugby,1e,,24,32 - 24,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8284-lyon-montpellier
j26,samedi 05 mai,Racing 92,2e,Bo,42,SU Agen,11e,,13,42 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8285-racing-92-agen
j26,samedi 05 mai,Section Paloise,8e,,38,RC Toulon,4e,,26,38 - 26,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8286-pau-toulon
j26,samedi 05 mai,Stade Rochelais,7e,Bo,31,Stade Français Paris,12e,,7,31 - 7,https://top14.lnr.fr/feuille-de-match/2017-2018/j26/8287-la-rochelle-paris
match-daccession,samedi 12 mai,FC Grenoble Rugby,13e,,47,Oyonnax Rugby,,,22,47 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/match-daccession/8288-grenoble-oyonnax
barrages,vendredi 18 mai,RC Toulon,4e,,19,LOU Rugby,5e,,19,19 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/barrages/8289-toulon-lyon
barrages,samedi 19 mai,Stade Toulousain,3e,,11,Castres Olympique,6e,,23,11 - 23,https://top14.lnr.fr/feuille-de-match/2017-2018/barrages/8290-toulouse-castres
demi-finales,vendredi 25 mai,Montpellier Hérault Rugby,1e,,40,LOU Rugby,5e,,14,40 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/demi-finales/8291-montpellier-lyon
demi-finales,samedi 26 mai,Racing 92,2e,,14,Castres Olympique,6e,,19,14 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/demi-finales/8292-racing-92-castres
finale,samedi 02 juin,Montpellier Hérault Rugby,1e,,13,Castres Olympique,6e,,29,13 - 29,https://top14.lnr.fr/feuille-de-match/2017-2018/finale/8293-montpellier-castres
